;tmdb_id;imdb_rating;imdb_votes
844;82702;7.8;380,482
843;724495;6.9;79,266
845;13151;7.8;12,928
847;1075;8.0;57,675
850;22881;7.6;372,247
849;508439;7.4;177,113
848;965150;7.6;111,460
854;288;7.9;113,334
851;4808;7.8;88,013
857;167581;7.5;23,559
853;653;;
869;13830;6.1;4,956
856;990;7.9;88,252
859;11474;7.5;114,565
858;13466;7.8;101,053
863;578;8.1;693,111
864;68;7.8;216,414
866;218;8.1;955,787
865;1587;7.7;260,883
868;14438;6.4;24,664
867;886396;;
871;108;7.8;114,860
870;1908;8.1;33,439
876;12219;7.8;19,420
872;575452;7.1;13,851
873;27040;7.8;15,588
875;8358;7.8;663,830
880;1592;7.7;255,459
878;352173;8.2;100,740
881;30020;7.7;38,493
884;100402;7.7;934,015
886;247;7.9;101,881
887;261;7.9;54,464
892;812;8.0;485,343
890;50531;7.1;7,127
888;567410;7.8;15,265
893;8416;7.9;34,656
895;1027014;7.3;16,862
899;891;7.9;129,425
900;15999;7.6;37,323
897;144288;7.8;12,207
903;10633;7.9;87,353
904;371645;7.8;146,760
908;99;7.8;106,136
906;16306;7.7;38,434
907;12548;7.8;20,353
910;13929;7.8;27,752
909;728118;;
913;164;7.6;197,740
912;871;8.0;202,921
915;4347;7.8;312,812
914;24160;;
916;508933;8.0;24,467
918;426426;7.7;174,192
919;496450;6.1;7,207
922;342470;6.6;40,352
921;534780;8.2;106,085
925;580175;7.7;206,926
924;801335;6.3;15,317
926;381289;7.3;82,980
929;212;7.9;76,304
928;9343;8.0;39,984
931;10637;7.8;237,568
932;38251;7.4;16,675
934;583083;5.7;40,024
938;228205;7.0;90,312
933;614917;7.5;145,812
935;981;7.8;76,232
937;313297;7.7;141,495
940;13363;7.8;206,122
936;514439;6.3;11,366
942;513434;7.6;31,861
941;803700;7.7;17,803
943;137113;7.9;771,818
944;74308;7.7;104,525
949;4995;7.9;291,084
945;627725;7.3;38,474
947;28580;7.9;41,583
946;498249;7.3;6,454
950;650;7.8;162,197
951;207703;7.8;908
953;10322;7.9;80,453
952;13386;;
955;320007;7.6;64,303
956;1939;7.9;52,736
954;744114;6.5;23,579
957;55;8.0;261,019
959;11657;;
958;15251;8.1;18,689
962;293660;8.0;1,204,874
961;581577;7.4;13,392
964;502356;7.0;268,467
967;643;7.9;62,849
966;995;7.8;55,498
965;4495;7.8;21,262
968;966220;;
970;225745;7.8;10,025
969;624932;8.3;28,527
973;419430;7.8;758,140
972;976573;7.0;149,083
974;8832;7.2;19,365
975;537116;7.5;124,611
976;768744;7.1;6,274
981;637649;7.1;221,884
980;1093;7.9;29,551
978;25768;7.8;16,421
979;4235;7.4;9,608
983;10331;7.8;144,961
982;417261;6.6;23,433
