;tmdb_id;imdb_rating;imdb_votes
454;85271;7.9;394,265
516;84958;8.2;441,167
465;77169;8.4;230,533
449;1911;7.8;181,791
460;104877;7.3;22,222
535;34307;8.5;303,594
524;110316;7.7;118,330
477;65494;8.6;269,973
519;4686;7.5;31,358
485;136315;8.5;269,492
547;18011;7.3;430
414;902;8.2;3,953
479;37863;8.5;80,925
498;2660;7.2;23,362
525;77240;8.1;2,421
488;6782;;
462;99494;8.5;16,256
450;1457;8.8;97,873
430;97860;7.5;9,798
515;112162;7.0;6,429
504;9907;7.3;16,116
426;67872;7.1;180
459;1095;8.5;21,542
539;45501;7.4;5,293
523;105797;;
447;90630;8.3;116
404;99048;8.0;15,943
458;103847;7.8;101
517;34791;8.0;15,833
407;61755;7.2;2,583
476;104699;6.9;2,791
422;155226;7.8;6,935
513;19849;7.6;4,965
408;93256;7.3;4,005
466;58957;8.9;43,078
444;90;;
487;114547;7.6;4,284
451;106519;7.4;3,945
434;66082;7.8;2,527
423;114161;8.3;217
412;81358;8.7;37,865
455;8974;7.4;2,049
457;1043;8.2;12,167
496;113558;;
541;37527;7.3;4,838
489;79242;7.4;113,720
490;56570;8.3;190,315
491;1395;7.5;202,791
494;67166;8.1;4,849
493;75865;;
492;97525;8.3;11,076
495;124364;7.8;141,544
497;60728;7.9;17,560
500;45782;7.5;55,978
501;62715;8.3;40,763
502;198004;5.4;136,827
499;82428;7.6;15,523
503;78074;6.8;1,812
506;69478;8.3;272,813
508;236994;8.1;4,398
505;129478;8.0;6,864
507;1981;7.2;95,521
509;33623;8.3;17,182
511;72305;7.1;14,959
512;56998;;
514;4574;8.4;51,341
518;118821;7.3;4,325
520;2085;8.3;54,354
521;105590;8.2;708
510;90870;8.3;12,510
522;35338;7.5;4,902
527;111110;8.3;173,015
526;194766;7.3;48,529
528;94280;7.6;5,767
530;61889;;
531;34105;8.0;8,272
529;125988;8.1;183,746
533;61593;;
537;2382;8.8;158,037
532;121078;7.1;2,826
536;4743;8.1;5,922
534;117465;8.1;20,308
540;288;5.8;3,505
538;66329;7.6;3,299
542;240;7.4;22,363
543;21729;8.3;23,347
544;76874;7.5;6,767
545;2490;8.5;170,910
546;79061;;
553;900;8.2;97,023
551;90814;7.6;10,770
552;12504;7.3;3,562
554;79649;7.6;14,838
556;790;;
557;1100;8.3;757,547
558;97727;7.7;34,574
559;2604;8.5;37,206
560;80671;7.5;3,237
561;61720;5.4;2,953
